medal_type,medal_code,athlete_name,country_code,discipline_code,event
Bronze Medal,3,LI Jingjing,CHN,ROW,Women's Eight
Bronze Medal,3,MIAO Tian,CHN,ROW,Women's Eight
Bronze Medal,3,WANG Yuwei,CHN,ROW,Women's Eight
Bronze Medal,3,WANG Zifeng,CHN,ROW,Women's Eight
Bronze Medal,3,XU Fei,CHN,ROW,Women's Eight
Bronze Medal,3,ZHANG Dechang,CHN,ROW,Women's Eight
Gold Medal,1,TWIGG Emma,NZL,ROW,Women's Single Sculls
Silver Medal,2,PRAKATSEN Hanna,ROC,ROW,Women's Single Sculls
Bronze Medal,3,LOBNIG Magdalena,AUT,ROW,Women's Single Sculls
Gold Medal,1,BATSARASHKINA Vitalina,ROC,SHO,25m Pistol Women
Silver Medal,2,KIM Minjung,KOR,SHO,25m Pistol Women
Bronze Medal,3,XIAO Jiaruixuan,CHN,SHO,25m Pistol Women
Gold Medal,1,RYLOV Evgeny,ROC,SWM,Men's 200m Backstroke
Silver Medal,2,MURPHY Ryan,USA,SWM,Men's 200m Backstroke
Bronze Medal,3,GREENBANK Luke,GBR,SWM,Men's 200m Backstroke
Gold Medal,1,WANG Shun,CHN,SWM,Men's 200m Individual Medley
Silver Medal,2,SCOTT Duncan,GBR,SWM,Men's 200m Individual Medley
Bronze Medal,3,DESPLANCHES Jeremy,SUI,SWM,Men's 200m Individual Medley
Gold Medal,1,McKEON Emma,AUS,SWM,Women's 100m Freestyle
Silver Medal,2,HAUGHEY Siobhan Bernadette,HKG,SWM,Women's 100m Freestyle
Bronze Medal,3,CAMPBELL Cate,AUS,SWM,Women's 100m Freestyle
Gold Medal,1,SCHOENMAKER Tatjana,RSA,SWM,Women's 200m Breaststroke
Silver Medal,2,KING Lilly,USA,SWM,Women's 200m Breaststroke
Bronze Medal,3,LAZOR Annie,USA,SWM,Women's 200m Breaststroke
Gold Medal,1,MA Long,CHN,TTE,Men's Singles
Silver Medal,2,FAN Zhendong,CHN,TTE,Men's Singles
Bronze Medal,3,OVTCHAROV Dimitrij,GER,TTE,Men's Singles
Gold Medal,1,MEKTIC Nikola,CRO,TEN,Men's Doubles
Gold Medal,1,PAVIC Mate,CRO,TEN,Men's Doubles
Silver Medal,2,CILIC Marin,CRO,TEN,Men's Doubles
Silver Medal,2,DODIG Ivan,CRO,TEN,Men's Doubles
Bronze Medal,3,DANIELL Marcus,NZL,TEN,Men's Doubles
Bronze Medal,3,VENUS Michael,NZL,TEN,Men's Doubles
Gold Medal,1,ZHU Xueying,CHN,GTR,Women
Silver Medal,2,LIU Lingling,CHN,GTR,Women
Bronze Medal,3,PAGE Bryony,GBR,GTR,Women
Gold Medal,1,GAZOZ Mete,TUR,ARC,Men's Individual
Silver Medal,2,NESPOLI Mauro,ITA,ARC,Men's Individual
Bronze Medal,3,FURUKAWA Takaharu,JPN,ARC,Men's Individual
Gold Medal,1,HOLUB-KOWALIK Malgorzata,POL,ATH,4 x 400m Relay Mixed
Gold Medal,1,KACZMAREK Natalia,POL,ATH,4 x 400m Relay Mixed
Gold Medal,1,BAUMGART-WITAN Iga,POL,ATH,4 x 400m Relay Mixed
Gold Medal,1,SWIETY-ERSETIC Justyna,POL,ATH,4 x 400m Relay Mixed
Gold Medal,1,DUSZYNSKI Kajetan,POL,ATH,4 x 400m Relay Mixed
Gold Medal,1,ZALEWSKI Karol,POL,ATH,4 x 400m Relay Mixed
Gold Medal,1,KOWALUK Dariusz,POL,ATH,4 x 400m Relay Mixed
Silver Medal,2,OGANDO Alexander,DOM,ATH,4 x 400m Relay Mixed
Silver Medal,2,SANTOS Luguelin,DOM,ATH,4 x 400m Relay Mixed
Silver Medal,2,FELIZ Lidio Andres,DOM,ATH,4 x 400m Relay Mixed
Silver Medal,2,PAULINO Marileidy,DOM,ATH,4 x 400m Relay Mixed
Silver Medal,2,MEDINA VENTURA Anabel,DOM,ATH,4 x 400m Relay Mixed
Bronze Medal,3,GODWIN Elija,USA,ATH,4 x 400m Relay Mixed
Bronze Medal,3,DEADMON Bryce,USA,ATH,4 x 400m Relay Mixed
Bronze Medal,3,ELLIS Kendall,USA,ATH,4 x 400m Relay Mixed
Bronze Medal,3,WHITNEY Kaylin,USA,ATH,4 x 400m Relay Mixed
Bronze Medal,3,STEWART Trevor,USA,ATH,4 x 400m Relay Mixed
Bronze Medal,3,MANSON Taylor,USA,ATH,4 x 400m Relay Mixed
Bronze Medal,3,IRBY Lynna,USA,ATH,4 x 400m Relay Mixed
Bronze Medal,3,NORWOOD Vernon,USA,ATH,4 x 400m Relay Mixed
Gold Medal,1,STAHL Daniel,SWE,ATH,Men's Discus Throw
Silver Medal,2,PETTERSSON Simon,SWE,ATH,Men's Discus Throw
Bronze Medal,3,WEISSHAIDINGER Lukas,AUT,ATH,Men's Discus Throw
Gold Medal,1,THOMPSON-HERAH Elaine,JAM,ATH,Women's 100m
Silver Medal,2,FRASER-PRYCE Shelly-Ann,JAM,ATH,Women's 100m
Bronze Medal,3,JACKSON Shericka,JAM,ATH,Women's 100m
Gold Medal,1,WANG Chi-Lin,TPE,BDM,Men's Doubles
Gold Medal,1,LEE Yang,TPE,BDM,Men's Doubles
Silver Medal,2,LI Jun Hui,CHN,BDM,Men's Doubles
Silver Medal,2,LIU Yu Chen,CHN,BDM,Men's Doubles
Bronze Medal,3,CHIA Aaron,MAS,BDM,Men's Doubles
Bronze Medal,3,SOH Wooi Yik,MAS,BDM,Men's Doubles
Bronze Medal,3,TESTA Irma,ITA,BOX,Women's Feather (54-57kg)
Bronze Medal,3,ARTINGSTALL Karriss,GBR,BOX,Women's Feather (54-57kg)
Gold Medal,1,POZDNIAKOVA Sofia,ROC,FEN,Women's Sabre Team
Gold Medal,1,NIKITINA Olga,ROC,FEN,Women's Sabre Team
Gold Medal,1,VELIKAYA Sofya,ROC,FEN,Women's Sabre Team
Silver Medal,2,BALZER Sara,FRA,FEN,Women's Sabre Team
Silver Medal,2,BERDER Cecilia,FRA,FEN,Women's Sabre Team
Silver Medal,2,BRUNET Manon,FRA,FEN,Women's Sabre Team
Silver Medal,2,LEMBACH Charlotte,FRA,FEN,Women's Sabre Team
Bronze Medal,3,KIM Jiyeon,KOR,FEN,Women's Sabre Team
Bronze Medal,3,YOON Jisu,KOR,FEN,Women's Sabre Team
Bronze Medal,3,SEO Jiyeon,KOR,FEN,Women's Sabre Team
Bronze Medal,3,CHOI Sooyeon,KOR,FEN,Women's Sabre Team
Gold Medal,1,BUCHARD Amandine,FRA,JUD,Mixed Team
Gold Medal,1,RINER Teddy,FRA,JUD,Mixed Team
Gold Medal,1,le BLOUCH Kilian,FRA,JUD,Mixed Team
Gold Medal,1,CHAINE Guillaume,FRA,JUD,Mixed Team
Gold Medal,1,CLERGET Axel,FRA,JUD,Mixed Team
Gold Medal,1,IDDIR Alexandre,FRA,JUD,Mixed Team
Gold Medal,1,DICKO Romane,FRA,JUD,Mixed Team
Gold Medal,1,MALONGA Madeleine,FRA,JUD,Mixed Team
Gold Medal,1,AGBEGNENOU Clarisse,FRA,JUD,Mixed Team
Gold Medal,1,PINOT Margaux,FRA,JUD,Mixed Team
Gold Medal,1,CYSIQUE Sarah Leonie,FRA,JUD,Mixed Team
Silver Medal,2,ABE Uta,JPN,JUD,Mixed Team
Silver Medal,2,ARAI Chizuru,JPN,JUD,Mixed Team
Silver Medal,2,YOSHIDA Tsukasa,JPN,JUD,Mixed Team
Silver Medal,2,TASHIRO Miku,JPN,JUD,Mixed Team
Silver Medal,2,SONE Akira,JPN,JUD,Mixed Team
Silver Medal,2,HARASAWA Hisayoshi,JPN,JUD,Mixed Team
Silver Medal,2,HAMADA Shori,JPN,JUD,Mixed Team
Silver Medal,2,NAGASE Takanori,JPN,JUD,Mixed Team
Silver Medal,2,WOLF Aaron,JPN,JUD,Mixed Team
Silver Medal,2,MUKAI Shoichiro,JPN,JUD,Mixed Team
Silver Medal,2,ONO Shohei,JPN,JUD,Mixed Team
Silver Medal,2,ABE Hifumi,JPN,JUD,Mixed Team
Bronze Medal,3,MUKI Sagi,ISR,JUD,Mixed Team
Bronze Medal,3,BUTBUL Tohar,ISR,JUD,Mixed Team
Bronze Medal,3,SASSON Or,ISR,JUD,Mixed Team
Bronze Medal,3,KOCHMAN Li,ISR,JUD,Mixed Team
Bronze Medal,3,SHMAILOV Baruch,ISR,JUD,Mixed Team
Bronze Medal,3,PALTCHIK Peter,ISR,JUD,Mixed Team
Bronze Medal,3,LANIR Inbar,ISR,JUD,Mixed Team
Bronze Medal,3,SHARIR Gili,ISR,JUD,Mixed Team
Bronze Medal,3,HERSHKO Raz,ISR,JUD,Mixed Team
Bronze Medal,3,NELSON LEVY Timna,ISR,JUD,Mixed Team
Bronze Medal,3,RISHONY Shira,ISR,JUD,Mixed Team
Bronze Medal,3,WAGNER Anna-Maria,GER,JUD,Mixed Team
Bronze Medal,3,MENZ Katharina,GER,JUD,Mixed Team
Bronze Medal,3,SCOCCIMARRO Giovanna,GER,JUD,Mixed Team
Bronze Medal,3,FREY Karl-Richard,GER,JUD,Mixed Team
Bronze Medal,3,RESSEL Dominic,GER,JUD,Mixed Team
